,Area80%,Area60%,Area40%,Area_crossbrain,axis_80%,axis_60%,axis_40%,axis_0%,maxMPS_coord,centroidMPS_coord,centroid_Brain_coord,mps_centroid_vec,max_mps_vec,mps_volume,maxMPS
0,781,1743,3080,15825,"(41.758494983428314, 26.43073096068541)","(56.70411542589929, 40.33655983865844)","(75.98086945226119, 53.12452176171384)","(171.47053623041123, 124.65823466316945)","(103, 100)","(106.11287033384436, 102.58526983367896)","(137.77327014218008, 97.901548183254349)",[-31.66039981   4.68372165],[-34.77327014   2.09845182],60859.14667,18.5
1,86,759,1708,15766,"(35.19554617679838, 4.412649334798638)","(47.33828076053617, 23.809995364985078)","(59.43248881353114, 45.79302030122276)","(174.22739325607034, 127.93220083101848)","(105, 105)","(110.7186978008059, 99.760165830235778)","(142.67271343397184, 95.176011670683749)",[-31.95401563   4.58415416],[-37.67271343   9.82398833],37972.92571,16.5
2,332,1177,2837,15284,"(29.397257688208718, 16.122898342158933)","(50.72693808953251, 31.736571035527557)","(71.71443064873328, 53.90203699413435)","(170.08478225271435, 124.91645866643474)","(111, 95)","(111.35593404133591, 94.584032168894211)","(135.21368751635697, 93.923253075111234)",[-23.85775348   0.66077909],[-24.21368752   1.07674692],60410.27571,17.5
3,342,1791,3605,13679,"(32.201443679190746, 16.808876086385272)","(54.26389886682193, 46.188108252771336)","(74.15121258323838, 64.24917117453926)","(163.83998276493392, 114.90037815042052)","(117, 116)","(112.02227202608874, 106.15333966662223)","(134.67044374588787, 101.85803055778931)",[-22.64817172   4.29530911],[-17.67044375  14.14196944],63652.15667,18
4,105,570,2133,15505,"(15.463284845051271, 9.770375931205958)","(42.229761420689684, 18.941725251192846)","(65.64638563611359, 45.14210419769543)","(170.39055692727732, 128.4959590635353)","(97, 104)","(106.26068723144006, 100.48791810750504)","(140.35369235730408, 96.509706546275396)",[-34.09300513   3.97821156],[-43.35369236   7.49029345],41505.50333,13.5
5,211,895,2255,15282,"(27.398735442082735, 10.681386984812933)","(49.035282285817225, 25.253489964615245)","(72.51194919179744, 42.93237792046236)","(167.89776812412606, 127.73050156574008)","(122, 92)","(121.15895368306231, 95.082048145907081)","(138.64310954063603, 94.528857479387511)",[-17.48415586   0.55319067],[-16.64310954  -2.52885748],42007.79286,15.5
6,358,1762,3913,14949,"(27.863402425169742, 21.693794607193848)","(59.42863361915098, 42.34271388482762)","(81.72805312575814, 63.57635498112865)","(173.64288741660087, 123.59363466304957)","(107, 114)","(109.29285018604463, 104.34596963875386)","(143.87430597364371, 101.43614957522242)",[-34.58145579   2.90982006],[-36.87430597  12.56385042],47748.27429,12.5
7,450,2749,5512,16333,"(36.1505580946711, 17.70603088472181)","(74.51096051307393, 49.18049548589853)","(97.67912231322943, 74.5377656438632)","(173.74191050349222, 128.80251823337684)","(110, 103)","(109.9729122155458, 100.37671989572004)","(135.2745974407641, 96.108614461519622)",[-25.30168523   4.26810543],[-25.27459744   6.89138554],110619.5319,20.5
8,615,1465,3551,15697,"(39.389074407663614, 24.283135531279076)","(55.60864542497783, 37.312538599304354)","(76.31778711671426, 64.24658392656332)","(170.04008691614362, 123.0544646083893)","(117, 108)","(116.0385221359756, 99.657398232966045)","(138.58648149327897, 97.352869975154491)",[-22.54795936   2.30452826],[-21.58648149  10.64713002],90987.16485,21
9,1068,2322,3752,15213,"(39.53646568898955, 38.28859931997321)","(62.24376162557597, 49.24050383000079)","(80.78964875927306, 60.892140902969764)","(171.38128746935894, 120.90834783333796)","(103, 91)","(112.84428873205447, 91.161330459500732)","(133.50161046473411, 96.56721225267863)",[-20.65732173  -5.40588179],[-30.50161046  -5.56721225],90120.4231,23
10,1279,3684,5024,14584,"(54.15320878711497, 36.84693320814832)","(88.29901338021072, 55.80933787223507)","(96.22042730650777, 67.9840464471949)","(156.2898657260439, 127.08965304736175)","(111, 107)","(104.68019984227676, 98.255629551373133)","(145.22209270433351, 92.477578167855185)",[-40.54189286   5.77805138],[-34.2220927   14.52242183],113026.6764,28
11,644,1767,3139,15582,"(39.71749385489095, 26.945628931773058)","(52.325390639039526, 46.85051251557956)","(72.89805018482897, 57.75417032679139)","(173.50186803875334, 123.59358489824842)","(115, 108)","(113.7663034005093, 99.079685821893733)","(138.54132973944294, 97.873636246951605)",[-24.77502634   1.20604957],[-23.54132974  10.12636375],44210.7269,14
12,1476,2882,4371,15062,"(55.485858868623424, 34.984482757448575)","(79.49787450889167, 48.84819877568589)","(97.8816085948446, 59.666145276263165)","(173.84605282296417, 118.58156133904362)","(118, 100)","(125.78460843022303, 97.697546912888654)","(141.96760058425176, 101.27147789138229)",[-16.18299215  -3.57393098],[-23.96760058  -1.27147789],96916.07548,22
13,514,1325,2573,15999,"(33.19930325662607, 20.91170840851539)","(49.13506426688315, 36.28754719583523)","(68.95358326045307, 50.00147537832752)","(175.77872603123492, 124.86629508951751)","(104, 105)","(109.98014703144979, 100.27535860924534)","(135.72010750671916, 101.52478279892493)",[-25.73996048  -1.24942419],[-31.72010751   3.4752172 ],56537.04333,18.5
14,1087,2657,4075,14914,"(47.49388878172949, 30.465984277593527)","(75.29078625623556, 47.991396846803106)","(91.33132405365143, 58.85197630683948)","(162.02322745116527, 128.07877689717225)","(120, 109)","(117.52823686160332, 101.53758974668439)","(139.23407536542845, 97.131554244334183)",[-21.7058385   4.4060355],[-19.23407537  11.86844576],64813.20071,16.5
15,781,1639,3017,15262,"(35.7274928411073, 32.75269885648823)","(57.3416620911314, 38.95692596157598)","(75.5040655551478, 52.7899898295012)","(171.41714030513845, 125.63162202474238)","(122, 89)","(119.81608480626869, 93.621195201770817)","(139.03348185034727, 96.126130258157517)",[-19.21739704  -2.50493506],[-17.03348185  -7.12613026],81313.40873,23.5
16,210,1706,3057,14050,"(32.647045612413365, 16.367227918693263)","(54.04491934621963, 50.23263199821486)","(80.92715707781619, 56.86814977654867)","(159.8621247920241, 133.1465416273263)","(122, 119)","(121.37338644067121, 112.87374914492851)","(137.53451957295374, 96.436227758007121)",[-16.16113313  16.43752139],[-15.53451957  22.56377224],24453.74857,7
17,60,1460,4212,16366,"(12.982353572413949, 6.704612520807159)","(73.78807067597374, 40.360073222322804)","(137.4340755961698, 53.89475854446312)","(171.66308273642213, 132.74158696036503)","(140, 91)","(131.30008911264619, 97.886763411344859)","(141.60289624831969, 97.770377612122687)",[-10.30280714   0.1163858 ],[-1.60289625 -6.77037761],38612.49667,6.5
18,478,1610,2532,14738,"(37.68721755287197, 18.061193538223826)","(61.979683927331465, 34.265484187923214)","(75.98650740023511, 43.809172166233914)","(164.39589161751022, 126.06637719215001)","(112, 109)","(121.74690832573701, 103.72506379254951)","(141.22492875559777, 106.65517709322839)",[-19.47802043  -2.9301133 ],[-29.22492876   2.34482291],38997.20738,16.5
19,862,2473,3633,15601,"(46.773813301915794, 26.829596161555692)","(72.10368362946834, 45.32344398963974)","(85.30480601201062, 55.566324183109586)","(183.0166478855597, 121.45093876017249)","(121, 105)","(113.13482247927608, 97.308167274453638)","(137.67450804435614, 98.087878982116536)",[-24.53968557  -0.77971171],[-16.67450804   6.91212102],89538.901,27.5
20,684,2611,4700,13835,"(37.908665379135165, 26.78836589511989)","(72.92731416741873, 48.92439559297687)","(93.54676505494051, 69.30947423373742)","(163.61215823352154, 121.01390738420758)","(114, 105)","(119.88310268331448, 101.80381570961356)","(139.98294181423924, 96.262811709432597)",[-20.09983913   5.541004  ],[-25.98294181   8.73718829],84530.14905,18
21,408,1285,2422,13524,"(30.054784436963956, 20.190176505771625)","(58.016576068965065, 31.72886831884614)","(73.46960736262042, 45.703262279671314)","(163.69749641093426, 121.81793349856841)","(115, 101)","(116.96609242101435, 96.240369233993945)","(140.20689145223307, 100.38398402839397)",[-23.24079903  -4.14361479],[-25.20689145   0.61601597],51353.39857,15
22,411,1212,2407,10495,"(37.44556730269862, 16.75206691889881)","(53.13589352752454, 34.416420779367755)","(64.719233714016, 52.820985999121845)","(141.35973040156475, 126.43401142521527)","(135, 99)","(124.47870607447754, 97.091463351451623)","(132.50395426393521, 104.57455931395903)",[-8.02524819 -7.48309596],[ 2.49604574 -5.57455931],32203.23905,12
23,299,984,2330,16362,"(27.989984151114427, 17.56319700262471)","(45.06748054122573, 29.78750333912362)","(79.28023864423773, 41.73461421217257)","(169.88535756840946, 131.0505731975886)","(136, 97)","(135.95732903386349, 93.955823563959299)","(137.96277961129445, 96.135069062461795)",[-2.00545058 -2.1792455 ],[-1.96277961  0.86493094],44310.63333,10.5
24,339,2038,3797,14238,"(31.93254900687308, 16.437401755530114)","(56.919182946051684, 48.17996115840999)","(77.26631113476675, 64.98519390751848)","(161.71447242408868, 119.83194216001503)","(114, 85)","(112.18062709582505, 101.43189946533862)","(132.08723135271808, 107.88214636887203)",[-19.90660426  -6.4502469 ],[-18.08723135 -22.88214637],57914.18048,14
25,625,2252,3626,14752,"(47.386256900127705, 24.05329130815768)","(69.67579837246113, 45.74118189339116)","(84.42546589168917, 59.359281987757925)","(166.55422341125455, 127.55759422038673)","(112, 97)","(121.06428855385273, 95.944604906280119)","(137.96400488069415, 98.533080260303691)",[-16.89971633  -2.58847535],[-25.96400488  -1.53308026],63899.83452,16.5
